,distinct_id,active_timespan,sessions_per_day,churned,number_ratings,Average_SQS,time_in_between_sessions_slope,avg_session_duration
1382,3059A451-3178-4602-84FF-AAD5E8607CAF,24.5053125,21.66877080224952,0,0.0,11.903614457831326,302.4282852028959,44.8253012048193
1383,305AB168-6FB5-43C3-98E2-A146DD970272,,,0,0.0,-1.0,0.0,-1.0
1384,305F2E99-FD0E-49CF-99DF-EC9A532E214B,0.3350231481481481,29.84868375595937,0,0.0,14.0,0.0,99.1
1385,3069F5D4-8107-41B0-BEB2-53A4854CFA66,0.3335300925925926,11.992920845334352,0,0.0,4.0,0.0,16.4
1386,30700DBE-F1A6-4020-9ECB-6FDFF4EC3278,0.33503472222222225,68.64960099492176,0,0.0,30.0,0.0,66.6
1387,3070305D-F245-49AE-8DC1-89349B99C27E,203.39947916666668,0.01474930030446038,0,0.0,3.0,0.0,15.4
1388,3070B623-94CA-43FA-A79B-A09AAA75A26A,,,0,0.0,-1.0,0.0,-1.0
1389,3073D41E-33A6-4A00-9F5B-BE97EE8553CF,,,0,0.0,-1.0,0.0,-1.0
1390,307DF1F1-0C3F-4CA8-812B-0ACF668B9B75,78.341875,0.012764565565988815,1,0.0,-1.0,0.0,-1.0
1391,308142EA-CE1D-4240-AB8B-137950D03FF9,0.3333333333333333,9.0,0,0.0,-1.0,0.0,-1.0
1392,30853CA6-7B91-4683-9A25-AF82CD257B22,0.3422453703703704,17.531281704430164,0,0.0,1.5,0.0,183.04999999999998
1393,3088B4A9-A1AA-43FC-8D93-0C084E01230D,,,0,0.0,-1.0,0.0,-1.0
1394,30945C81-C628-42A4-BCF8-EB3C44E3A6B4,,,0,0.0,-1.0,0.0,-1.0
1395,309E5020-8D17-4083-8C07-FC3ED0BE8275,75.43008101851852,0.33143276080881257,0,0.0,-1.0,0.0,-1.0
1396,309bbc14-2335-43ac-8c6d-eccec04b1689,,,0,0.0,-1.0,0.0,-1.0
1397,30B41691-0084-4AAB-A92B-DFAA86E6DA0E,,,0,0.0,-1.0,0.0,-1.0
1398,30BCEF37-26BE-4E8A-9C15-21613840EFAC,0.5,4.0,0,0.0,-1.0,0.0,-1.0
1399,30BD6360-3AEB-49A4-AE8E-AB86A1B8948C,0.29291666666666666,40.96728307254622,0,0.0,5.666666666666667,85.0,50.333333333333336
1400,30C68C71-180C-418E-936D-BBBFE1BAEDEC,4.198229166666667,5.240304691958415,0,0.0,13.5,139061.99999999997,55.925
1401,30CB6B42-72F0-4A1E-8D24-6E0093144B50,,,0,0.0,-1.0,0.0,-1.0
1402,30CD0005-9B2D-4FCF-AB5E-04F848DBDF17,,,0,0.0,-1.0,0.0,-1.0
1403,30D2ABE1-90AE-4392-98FC-3358D4CE2A34,0.29278935185185184,51.23137130885085,0,0.0,10.0,1.0,29.7
1404,30DA233B-C713-43E8-9AB3-0D6FC886793B,0.3411689814814815,20.517691759677035,0,0.0,2.0,0.0,252.2
1405,30DC5032-1686-426E-8C18-37B54ECA624B,,,0,0.0,-1.0,0.0,-1.0
1406,30E3BC56-27BE-4832-9B7D-DFB480E99118,0.3333333333333333,9.0,0,0.0,-1.0,0.0,-1.0
1407,30E8FEA8-62AF-4854-ABBA-5A92B03E359E,0.2916666666666667,10.285714285714283,0,0.0,-1.0,0.0,-1.0
1408,30EF8263-6561-408B-8EFE-B6D398742C8B,,,0,0.0,-1.0,0.0,-1.0
1409,30F2672F-F7DD-487E-BF03-B8ED70215BEF,0.2916666666666667,3.4285714285714284,0,0.0,-1.0,0.0,-1.0
1410,30F447D1-F9EE-429F-84DF-111E56604AA3,245.54428240740742,0.004072585157331414,0,0.0,-1.0,0.0,-1.0
1411,30FB5682-F303-494F-AE5C-E8C320A008FB,,,0,0.0,-1.0,0.0,-1.0
1412,30a81528-0f76-41ef-bc11-0c7b7688b76e,,,0,0.0,1.5,0.0,61.5
1413,310A1835-A74F-4EB9-9133-3B4F248FC51B,153.73069444444445,0.05203905458770342,0,0.0,8.0,0.0,13.3
1414,310E8F3F-6C52-4F55-9265-A723143B5483,134.19405092592592,0.02235568551139407,1,0.0,2.0,0.0,177.0
1415,311485FB-BA58-4BAC-83B3-14B3DC0CAB27,,,0,0.0,-1.0,0.0,-1.0
1416,311730BD-D59E-4D67-8A8D-C8F489390390,0.33340277777777777,35.992501562174546,0,0.0,-1.0,0.0,-1.0
1417,3118ABDD-46D8-40AD-B405-A6FD9B82099E,0.3333333333333333,9.0,0,0.0,-1.0,0.0,-1.0
1418,311A978E-6F5B-4D1E-BC60-997CA3886B52,,,0,0.0,-1.0,0.0,-1.0
1419,312097B8-E937-4B06-A320-F59DD27B5A2E,67.17987268518519,0.014885410764116027,1,0.0,-1.0,0.0,-1.0
1420,3136B5B0-D9C8-4E80-A31D-3FC7226C2E8B,,,0,0.0,-1.0,0.0,-1.0
1421,314608F8-32CD-46E5-9D91-85125D181670,,,0,0.0,-1.0,0.0,-1.0
1422,314A95CD-2743-4442-B1DC-E1EB949AA064,0.3333333333333333,9.0,0,0.0,-1.0,0.0,-1.0
1423,3168B4D9-4DEB-4F54-8FC8-F38AA1053BAA,330.70150462962965,0.21469512235669053,0,0.0,27.22222222222222,85456.96428571429,133.56666666666666
1424,316986A2-AF60-4591-8E3B-CC1DEE2A3DC3,69.28849537037037,0.606161236082496,0,1.0,11.4,187816.21666666667,70.34
1425,317C9673-EDFA-4482-810B-5C9A798DEC7D,17.528136574074075,3.708323456136331,0,0.0,37.666666666666664,1482.0,73.38333333333334
1426,3197807F-3006-48FD-9B29-F67CA59D5A7D,0.29212962962962963,30.808240887480192,0,0.0,17.0,0.0,31.0
1427,31A1319F-EF62-4D6E-9CE3-12573F18A758,,,0,0.0,-1.0,0.0,-1.0
1428,31A34652-7565-4D3D-99BB-D5FFCD3D0949,0.8392476851851852,34.554757209251015,0,0.0,11.0,6130.457142857143,94.35714285714286
