,distinct_id,locationSetting,notificationSettings,active_timespan,US,Facebook,Foodie,Google,Unknown,num_sessions,sessions_per_day,America/New_York,America/Los_Angeles,America/Chicago,Asia/Kolkata,America/Denver,other_timezone,commentAdded,commentLength,churned,number_ratings,SQS,avg_session_duration,time_delta_slope,session_time_slope,time_delta_slope_90,session_time_slope_90
2186,4a9803d2-86e8-420e-b6a8-a5f817ddedf3,1,1,0.003622685185185185,0,0,1,0,0,3,0.016666666666666666,0,0,0,0,0,1,0,0.0,1,0.0,1.5,156.3,0.0,228.0,0.0,228.0
2187,4b799166-8ddc-4f78-902f-da9e238d30c8,1,1,15.695358796296293,1,0,1,0,0,4,0.022222222222222227,0,0,0,0,0,1,0,0.0,1,0.0,2.0,65.6,0.0,-16.799999999999983,0.0,0.0
2188,4b7d0f28-0128-4ff7-b970-e0d56fee28b1,1,0,0.0,0,0,1,0,0,1,0.005555555555555557,0,0,0,0,0,1,0,0.0,0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
2189,4be1203c-5c87-4c00-8e24-a7f9e39b3bbe,1,0,0.0014814814814814814,1,0,1,0,0,4,0.022222222222222227,0,0,0,0,0,1,0,0.0,1,0.0,1.3333333333333333,41.266666666666666,47.0,34.75,0.0,0.0
2190,4c0961305769ceea,1,0,0.0001273148148148148,0,0,1,0,1,3,0.016666666666666666,0,0,0,1,0,0,0,0.0,1,0.0,7.0,24.1,0.0,0.0,0.0,0.0
2191,4c0ee8f8-c92d-47af-adaf-a999b4b4e496,1,0,0.003125,1,0,1,0,0,3,0.016666666666666666,0,0,0,0,0,1,0,0.0,1,0.0,1.5,129.5,0.0,99.19999999999999,0.0,0.0
2192,4c380bc6-e50f-4e18-bb23-7ddf15ff3df9,1,0,108.443125,1,0,1,0,0,16,0.08888888888888889,0,0,0,0,0,1,0,0.0,1,0.0,1.1538461538461537,100.26923076923075,-98433.43356643354,-20.03846153846154,0.0,0.0
2193,4c3a26171ce16a6b,1,0,207.62740740740745,0,0,1,0,1,9,0.05,0,0,0,0,0,1,0,0.0,0,0.0,1.8,61.18000000000001,3409853.9,5.11999999999999,0.0,0.0
2194,4c9929a5-46d1-4712-9b04-48e35ed32ce4,1,1,0.0028125,0,0,1,0,0,3,0.016666666666666666,0,0,0,0,0,1,0,0.0,1,0.0,1.5,76.9,0.0,-82.60000000000001,0.0,0.0
2195,4ce62dad-dda3-4a0d-8824-b4ea9cab4265,1,1,14.837465277777778,1,0,1,0,0,3,0.016666666666666666,0,0,0,0,0,1,0,0.0,1,0.0,2.0,89.6,0.0,0.0,0.0,0.0
2196,4d9886fa-7ed7-40fc-85b1-0001444eb1ae,1,1,71.09670138888889,1,0,1,0,0,5,0.027777777777777776,0,0,0,0,0,1,0,0.0,1,0.0,1.3333333333333333,43.666666666666664,765.0,27.400000000000006,0.0,0.0
2197,4e776e32-1f9d-4d63-b0f0-4712aa5d2c2a,1,1,0.0,0,0,1,0,0,1,0.005555555555555557,0,0,0,0,0,1,0,0.0,0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
2198,4ec72553-e9c9-4d09-8d39-e4edca9cb218,1,1,12.463344907407407,1,0,1,0,0,2,0.011111111111111113,0,0,0,0,0,1,0,0.0,1,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
2199,4ee3e198-a910-466d-a292-fb0762e8bc47,1,0,0.0005787037037037037,1,0,1,0,0,2,0.011111111111111113,0,0,0,0,0,1,0,0.0,1,0.0,2.0,49.8,0.0,0.0,0.0,0.0
2200,4f57e907-36ee-4aac-825e-8747b7e7cacf,1,0,0.0,1,0,1,0,0,1,0.005555555555555557,0,0,0,0,0,1,0,0.0,0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
2201,50075652-1D33-4457-9FEF-6EDB16938595,1,1,76.26552083333333,1,0,1,0,1,3,0.016666666666666666,0,0,1,0,0,0,0,0.0,1,0.0,3.0,17.5,0.0,0.0,0.0,0.0
2202,5008183D-7A16-480D-97BA-569DABAD81A9,1,1,25.2696875,1,0,1,0,1,4,0.022222222222222227,1,0,0,0,0,0,0,0.0,1,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
2203,50134DF2-5C0F-4A71-9A27-650B4D34645E,1,0,0.6989814814814815,1,0,1,0,1,50,0.2777777777777778,1,0,0,0,0,0,0,0.0,0,0.0,16.2,28.979999999999997,-1488.9666666666665,-3.632727272727273,0.0,0.0
2204,5025CE2B-BB9E-473B-AF30-0030520E5B04,1,0,46.256284722222226,1,0,1,0,1,29,0.16111111111111112,1,0,0,0,0,0,0,0.0,0,1.0,8.5,337.65000000000003,-0.0,-39.280000000000015,0.0,0.0
2205,5025F851-BA9D-44F0-A781-B8A5E23D7C72,1,1,16.619594907407407,1,0,1,0,1,5,0.027777777777777776,0,1,0,0,0,0,0,0.0,1,0.0,4.5,11.899999999999999,0.0,-1.3999999999999986,0.0,0.0
2206,503772f7-49f2-464c-aa3d-4091253c21ca,1,0,0.001412037037037037,0,0,1,0,0,2,0.011111111111111113,0,0,0,0,0,1,0,0.0,1,0.0,1.0,92.6,0.0,0.0,0.0,0.0
2207,5037E09F-9210-4FE5-8853-E0BA33A3E03C,1,1,0.3333333333333333,0,0,1,0,1,3,0.016666666666666666,0,0,0,1,0,0,0,0.0,1,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
2208,503D7490-7F25-4D87-A92F-AF9E14112C73,1,0,61.229456018518526,1,0,1,0,1,46,0.25555555555555554,0,0,1,0,0,0,0,0.0,0,0.0,33.2,43.94,1498930.1,5.010000000000005,0.0,0.0
2209,5046B2AA-1A68-461A-9534-E00B35C75108,1,1,330.4865046296296,1,0,1,0,1,40,0.2222222222222222,0,0,1,0,0,0,0,0.0,0,0.0,7.818181818181818,33.36363636363637,-346883.0242424243,1.90181818181818,-577408.9166666666,3.1535714285714325
2210,5050B74C-5456-4918-A8EC-B10EACB874FD,1,1,0.0,1,0,1,0,0,1,0.005555555555555557,0,0,0,0,0,1,0,0.0,0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
